lead_minutes,cost_ratio,method,threshold,validation_cost
15,2.0,frequency,0.25,0.2921974522292994
15,2.0,np013_selected,0.4,0.28821656050955413
15,2.0,np014_selected,0.3,0.2806528662420382
15,2.0,np019_selected,0.3,0.28144904458598724
15,2.0,np020_selected,0.3,0.28144904458598724
15,5.0,frequency,0.25,0.7304936305732485
15,5.0,np013_selected,0.15000000000000002,0.5139331210191083
15,5.0,np014_selected,0.1,0.4482484076433121
15,5.0,np019_selected,0.1,0.45979299363057324
15,5.0,np020_selected,0.1,0.45979299363057324
15,10.0,frequency,0.05,0.8539012738853503
15,10.0,np013_selected,0.05,0.5887738853503185
15,10.0,np014_selected,0.1,0.5338375796178344
15,10.0,np019_selected,0.1,0.5553343949044586
15,10.0,np020_selected,0.1,0.5553343949044586
720,2.0,frequency,0.25,0.2921974522292994
720,2.0,np013_selected,0.25,0.29179936305732485
720,2.0,np014_selected,0.3,0.2695063694267516
720,2.0,np019_selected,0.3,0.267515923566879
720,2.0,np020_selected,0.3,0.267515923566879
720,5.0,frequency,0.25,0.7304936305732485
720,5.0,np013_selected,0.1,0.4924363057324841
720,5.0,np014_selected,0.1,0.47770700636942676
720,5.0,np019_selected,0.15000000000000002,0.4518312101910828
720,5.0,np020_selected,0.15000000000000002,0.4518312101910828
720,10.0,frequency,0.05,0.8539012738853503
720,10.0,np013_selected,0.1,0.5879777070063694
720,10.0,np014_selected,0.1,0.5971337579617835
720,10.0,np019_selected,0.1,0.5987261146496815
720,10.0,np020_selected,0.1,0.5987261146496815
