site,lead_minutes,split,windows,class_0,class_1,class_2,class_3,down_events
suining,15,train,21049,10310,3402,3674,3663,7337
suining,15,validation,6559,2513,1358,1436,1252,2688
suining,15,test,6996,3217,1126,1031,1622,2653
suining,60,train,21046,10307,3402,3674,3663,7337
suining,60,validation,6556,2510,1358,1436,1252,2688
suining,60,test,6996,3217,1126,1031,1622,2653
suining,120,train,21042,10303,3402,3674,3663,7337
suining,120,validation,6552,2506,1358,1436,1252,2688
suining,120,test,6996,3217,1126,1031,1622,2653
suining,240,train,21034,10295,3402,3674,3663,7337
suining,240,validation,6544,2506,1358,1428,1252,2680
suining,240,test,6996,3217,1126,1031,1622,2653
suining,480,train,21018,10279,3402,3674,3663,7337
suining,480,validation,6528,2495,1357,1424,1252,2676
suining,480,test,6996,3217,1126,1031,1622,2653
suining,720,train,21002,10263,3402,3674,3663,7337
suining,720,validation,6514,2497,1345,1421,1251,2672
suining,720,test,6996,3217,1126,1031,1622,2653
