lead_minutes,task,metric,candidate,reference,relative_loss_reduction_pct,low,high,windows
15,downward_timing,conditional_rps,target_aligned_route,joint_timing,-0.837930950337995,-3.021469229918124,1.1929937061954994,6996
15,downward_timing,conditional_rps,target_aligned_route,power_timing,0.0,0.0,0.0,6996
15,downward_timing,conditional_median_mae_minutes,target_aligned_route,joint_timing,-1.110612519632026,-3.180248052402031,0.7902635493567554,6996
15,downward_timing,conditional_median_mae_minutes,target_aligned_route,power_timing,0.0,0.0,0.0,6996
60,downward_timing,conditional_rps,target_aligned_route,joint_timing,-0.8127750256116562,-2.4223713159213,0.7532097772057383,6996
60,downward_timing,conditional_rps,target_aligned_route,power_timing,0.0,0.0,0.0,6996
60,downward_timing,conditional_median_mae_minutes,target_aligned_route,joint_timing,-1.069976460517874,-2.6877118374290565,0.5774637808920443,6996
60,downward_timing,conditional_median_mae_minutes,target_aligned_route,power_timing,0.0,0.0,0.0,6996
120,downward_timing,conditional_rps,target_aligned_route,joint_timing,1.8091199975243,-0.18320811334275433,3.800509473396217,6996
120,downward_timing,conditional_rps,target_aligned_route,power_timing,0.0,0.0,0.0,6996
120,downward_timing,conditional_median_mae_minutes,target_aligned_route,joint_timing,2.093495934959355,0.09967490400410645,4.2056146182438905,6996
120,downward_timing,conditional_median_mae_minutes,target_aligned_route,power_timing,0.0,0.0,0.0,6996
240,downward_timing,conditional_rps,target_aligned_route,joint_timing,8.702301303941063,4.963836190153377,12.838368954769665,6996
240,downward_timing,conditional_rps,target_aligned_route,power_timing,0.0,0.0,0.0,6996
240,downward_timing,conditional_median_mae_minutes,target_aligned_route,joint_timing,8.009003094813838,5.102591957564762,10.966862323120006,6996
240,downward_timing,conditional_median_mae_minutes,target_aligned_route,power_timing,0.0,0.0,0.0,6996
480,downward_timing,conditional_rps,target_aligned_route,joint_timing,8.652062826203299,5.545586839701337,12.196357757390672,6996
480,downward_timing,conditional_rps,target_aligned_route,power_timing,0.0,0.0,0.0,6996
480,downward_timing,conditional_median_mae_minutes,target_aligned_route,joint_timing,8.785410109239022,5.0039901062021475,12.93657589713767,6996
480,downward_timing,conditional_median_mae_minutes,target_aligned_route,power_timing,0.0,0.0,0.0,6996
720,downward_timing,conditional_rps,target_aligned_route,joint_timing,-0.709094506403618,-2.1515550377911072,0.5150556632674986,6996
720,downward_timing,conditional_rps,target_aligned_route,power_timing,0.0,0.0,0.0,6996
720,downward_timing,conditional_median_mae_minutes,target_aligned_route,joint_timing,-1.4483946115668944,-3.479560655582061,0.6558549964226112,6996
720,downward_timing,conditional_median_mae_minutes,target_aligned_route,power_timing,0.0,0.0,0.0,6996
