source,lead_minutes,task,metric,candidate,reference,windows,relative_loss_reduction_pct,low,high,absolute_candidate,absolute_reference
np025,15,event,return_brier,calendar_only,frequency,6996,-14.170237240655826,-17.907890402717328,-8.27849682052811,0.20714761161825782,0.18143748898552076
np025,15,event,multiclass_brier,calendar_only,frequency,6996,-21.658302042088895,-30.779863522773702,-9.085712665243724,0.8420678980344465,0.6921581872342134
np025,15,downward_timing,conditional_rps,calendar_only,frequency,6996,-2.996802583315983,-4.854278121149832,-1.2232077935481116,0.17080057195628703,0.16583094588603695
np025,15,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,6996,-4.385695255661437,-6.80768096712369,-1.7052307232795354,57.59705993215228,55.17715793441387
np025,60,event,return_brier,calendar_only,frequency,6996,-14.070199367085356,-17.720517583446576,-8.281005760825638,0.20696283369199212,0.18143462082149273
np025,60,event,multiclass_brier,calendar_only,frequency,6996,-21.04819730647225,-30.002587380254372,-8.654169238698483,0.8378379409679225,0.6921523489083176
np025,60,downward_timing,conditional_rps,calendar_only,frequency,6996,-2.996802583315983,-4.854278121149832,-1.2232077935481116,0.17080057195628703,0.16583094588603695
np025,60,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,6996,-4.385695255661437,-6.80768096712369,-1.7052307232795354,57.59705993215228,55.17715793441387
np025,120,event,return_brier,calendar_only,frequency,6996,-14.34170733086686,-18.00785711237118,-8.532997674214288,0.20745107119505873,0.1814307972459816
np025,120,event,multiclass_brier,calendar_only,frequency,6996,-21.166238972714947,-30.158116035169066,-8.679984213198962,0.8386455604943087,0.6921445838416762
np025,120,downward_timing,conditional_rps,calendar_only,frequency,6996,-2.996802583315983,-4.854278121149811,-1.2232077935481116,0.17080057195628703,0.16583094588603695
np025,120,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,6996,-4.385695255661437,-6.80768096712369,-1.7052307232795354,57.59705993215228,55.17715793441387
np025,240,event,return_brier,calendar_only,frequency,6996,-14.427791055835893,-18.16972178089519,-8.547576250345916,0.20759850564813564,0.18142315230645012
np025,240,event,multiclass_brier,calendar_only,frequency,6996,-21.09426038534854,-30.081814975849632,-8.67277336829703,0.8381286390343246,0.6921291202136378
np025,240,downward_timing,conditional_rps,calendar_only,frequency,6996,-2.996802583315983,-4.854278121149832,-1.2232077935481116,0.17080057195628703,0.16583094588603695
np025,240,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,6996,-4.385695255661437,-6.80768096712369,-1.7052307232795354,57.59705993215228,55.17715793441387
np025,480,event,return_brier,calendar_only,frequency,6996,-15.034992900662104,-18.870568164678605,-9.029461707382518,0.20868253189442698,0.18140787132019362
np025,480,event,multiclass_brier,calendar_only,frequency,6996,-21.65934191548333,-30.77964037644166,-9.152014577506673,0.8420024315206026,0.6920984597348399
np025,480,downward_timing,conditional_rps,calendar_only,frequency,6996,-2.996802583315983,-4.854278121149811,-1.2232077935481116,0.17080057195628703,0.16583094588603695
np025,480,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,6996,-4.385695255661437,-6.80768096712369,-1.7052307232795354,57.59705993215228,55.17715793441387
np025,720,event,return_brier,calendar_only,frequency,6996,-15.226687025318132,-19.053542466834045,-9.132504454428943,0.2090126861169073,0.1813926022805655
np025,720,event,multiclass_brier,calendar_only,frequency,6996,-21.497349105887388,-30.694882487531853,-8.940719820714435,0.8408444640371807,0.692068156404275
np025,720,downward_timing,conditional_rps,calendar_only,frequency,6996,-2.996802583315983,-4.854278121149832,-1.2232077935481116,0.17080057195628703,0.16583094588603695
np025,720,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,6996,-4.385695255661437,-6.80768096712369,-1.7052307232795354,57.59705993215228,55.17715793441387
np028,15,event,return_brier,calendar_only,frequency,3772,-8.567693988797288,-15.593185934530158,-1.8888193554563548,0.17992842230260153,0.165729247524745
np028,15,event,multiclass_brier,calendar_only,frequency,3772,-18.726465445655304,-24.233224312005618,-13.202911352175246,0.80579171744318,0.6786959541148097
np028,15,downward_timing,conditional_rps,calendar_only,frequency,3772,-1.3328139796730198,-3.5224636837085654,2.2673956164424136,0.16797873932571686,0.16576934235677374
np028,15,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,3772,-1.7568947906026589,-3.951527924130671,1.921132457027297,56.26129518072289,55.289909638554214
np028,60,event,return_brier,calendar_only,frequency,3772,-8.573705039161439,-15.372787652215345,-1.9854006918128484,0.17993597656045973,0.16572702985088208
np028,60,event,multiclass_brier,calendar_only,frequency,3772,-19.606439171748136,-25.46905613885778,-14.005640800292,0.8118074248395761,0.6787322074473484
np028,60,downward_timing,conditional_rps,calendar_only,frequency,3772,-1.3328139796730198,-3.5224636837085654,2.2673956164424136,0.16797873932571686,0.16576934235677374
np028,60,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,3772,-1.7568947906026589,-3.951527924130671,1.921132457027297,56.26129518072289,55.289909638554214
np028,120,event,return_brier,calendar_only,frequency,3772,-8.432269900292845,-15.241962810402907,-1.741736367307678,0.17969838098531002,0.16572407932670669
np028,120,event,multiclass_brier,calendar_only,frequency,3772,-19.789224565330322,-25.686913199878408,-14.222102230383351,0.8131061180156507,0.678780684127562
np028,120,downward_timing,conditional_rps,calendar_only,frequency,3772,-1.3328139796730198,-3.5224636837085654,2.2673956164424136,0.16797873932571686,0.16576934235677374
np028,120,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,3772,-1.7568947906026589,-3.951527924130671,1.921132457027297,56.26129518072289,55.289909638554214
np028,240,event,return_brier,calendar_only,frequency,3772,-8.26711574539587,-14.943381149449152,-1.4806936600412879,0.17941831562421406,0.16571820020230285
np028,240,event,multiclass_brier,calendar_only,frequency,3772,-19.530294519664594,-25.345423891413834,-14.06855370184621,0.8112129079135773,0.6786672041372074
np028,240,downward_timing,conditional_rps,calendar_only,frequency,3772,-1.9250806497125517,-3.9862647840676724,1.5464732853067902,0.1689824925664794,0.16579088433319378
np028,240,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,3772,-2.2063329928498465,-4.519532363843748,1.844026123703424,56.5097891566265,55.289909638554214
np028,480,event,return_brier,calendar_only,frequency,3772,-8.364465037773062,-15.046736351763592,-1.7860108845952587,0.17956699494931563,0.1657065301680982
np028,480,event,multiclass_brier,calendar_only,frequency,3772,-19.179482764820023,-25.039394550707673,-13.620829971044989,0.808909843859741,0.6787324672787713
np028,480,downward_timing,conditional_rps,calendar_only,frequency,3772,-1.6868907092967511,-3.65482443350873,1.6676289685006895,0.16858048291348068,0.1657838898776243
np028,480,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,3772,-1.9407558733401498,-4.144713733754823,1.6884267677641636,56.36295180722892,55.289909638554214
np028,720,event,return_brier,calendar_only,frequency,3772,-8.505308527356847,-14.959179694164938,-2.0277880834240536,0.1797935642868913,0.16570024704511202
np028,720,event,multiclass_brier,calendar_only,frequency,3772,-20.370710330431564,-25.839625657493997,-14.491685507191686,0.8167482406256189,0.6785273912428947
np028,720,downward_timing,conditional_rps,calendar_only,frequency,3772,-1.4823474448285578,-3.4320211752276064,1.7714176881606813,0.1682571217347008,0.16579939858621692
np028,720,downward_timing,conditional_median_mae_minutes,calendar_only,frequency,3772,-1.9407558733401498,-4.165885479341886,1.6177957532861442,56.36295180722892,55.289909638554214
