package,lead_minutes,seed,arm,task,metric,absolute_score,relative_gain_pct
np025,15,41,power,event,multiclass_brier,0.575611854647216,
np025,15,41,power,downward_timing,conditional_rps,0.1549674043088469,
np025,15,42,power,event,multiclass_brier,0.5743616892103763,
np025,15,42,power,downward_timing,conditional_rps,0.15412375544457324,
np025,15,43,power,event,multiclass_brier,0.575117728847166,
np025,15,43,power,downward_timing,conditional_rps,0.15508113964672007,
np025,15,41,weather,event,multiclass_brier,0.6230270811592974,
np025,15,41,weather,downward_timing,conditional_rps,0.1697221968497505,
np025,15,42,weather,event,multiclass_brier,0.6242450194970033,
np025,15,42,weather,downward_timing,conditional_rps,0.16901016249255527,
np025,15,43,weather,event,multiclass_brier,0.6241288460729936,
np025,15,43,weather,downward_timing,conditional_rps,0.17129528350012824,
np025,15,41,joint,event,multiclass_brier,0.5615382004618155,
np025,15,41,joint,downward_timing,conditional_rps,0.1531512191717138,
np025,15,42,joint,event,multiclass_brier,0.5603233207882379,
np025,15,42,joint,downward_timing,conditional_rps,0.15264796833883532,
np025,15,43,joint,event,multiclass_brier,0.562581772519228,
np025,15,43,joint,downward_timing,conditional_rps,0.15280399626042404,
np025,15,41,weather_added_to_power,event,multiclass_brier,,-8.237361014939747
np025,15,41,joint_added_to_power,event,multiclass_brier,,2.4449903301637272
np025,15,41,power_added_to_weather,downward_timing,conditional_rps,,8.693496086410871
np025,15,42,weather_added_to_power,event,multiclass_brier,,-8.685003060563767
np025,15,42,joint_added_to_power,event,multiclass_brier,,2.444168663379724
np025,15,42,power_added_to_weather,downward_timing,conditional_rps,,8.80799522847495
np025,15,43,weather_added_to_power,event,multiclass_brier,,-8.521927731922156
np025,15,43,joint_added_to_power,event,multiclass_brier,,2.179720029334964
np025,15,43,power_added_to_weather,downward_timing,conditional_rps,,9.465610215354252
np025,240,41,power,event,multiclass_brier,0.6440337500421701,
np025,240,41,power,downward_timing,conditional_rps,0.16652107689681006,
np025,240,42,power,event,multiclass_brier,0.6432746013453491,
np025,240,42,power,downward_timing,conditional_rps,0.16636769804799825,
np025,240,43,power,event,multiclass_brier,0.6417616633696782,
np025,240,43,power,downward_timing,conditional_rps,0.16673034632150838,
np025,240,41,weather,event,multiclass_brier,0.6234192481864582,
np025,240,41,weather,downward_timing,conditional_rps,0.1697221968497505,
np025,240,42,weather,event,multiclass_brier,0.6238850872493099,
np025,240,42,weather,downward_timing,conditional_rps,0.16901016249255527,
np025,240,43,weather,event,multiclass_brier,0.6244385438928539,
np025,240,43,weather,downward_timing,conditional_rps,0.17129528350012824,
np025,240,41,joint,event,multiclass_brier,0.6101653943130622,
np025,240,41,joint,downward_timing,conditional_rps,0.17817243120278597,
np025,240,42,joint,event,multiclass_brier,0.610365241239728,
np025,240,42,joint,downward_timing,conditional_rps,0.18031015808781417,
np025,240,43,joint,event,multiclass_brier,0.6086296360296048,
np025,240,43,joint,downward_timing,conditional_rps,0.17841939992002365,
np025,240,41,weather_added_to_power,event,multiclass_brier,,3.200841858732108
np025,240,41,joint_added_to_power,event,multiclass_brier,,5.258785851966659
np025,240,41,power_added_to_weather,downward_timing,conditional_rps,,1.886093871253798
np025,240,42,weather_added_to_power,event,multiclass_brier,,3.014189283315058
np025,240,42,joint_added_to_power,event,multiclass_brier,,5.115911624179502
np025,240,42,power_added_to_weather,downward_timing,conditional_rps,,1.5634944109786364
np025,240,43,weather_added_to_power,event,multiclass_brier,,2.699307307617337
np025,240,43,joint_added_to_power,event,multiclass_brier,,5.162668515614979
np025,240,43,power_added_to_weather,downward_timing,conditional_rps,,2.664952055505044
np025,720,41,power,event,multiclass_brier,0.6887725529816229,
np025,720,41,power,downward_timing,conditional_rps,0.16957509061376796,
np025,720,42,power,event,multiclass_brier,0.6829406968894621,
np025,720,42,power,downward_timing,conditional_rps,0.16983257848346786,
np025,720,43,power,event,multiclass_brier,0.6905776960624506,
np025,720,43,power,downward_timing,conditional_rps,0.16917210194207694,
np025,720,41,weather,event,multiclass_brier,0.6224167858310834,
np025,720,41,weather,downward_timing,conditional_rps,0.1697221968497505,
np025,720,42,weather,event,multiclass_brier,0.6232371477512288,
np025,720,42,weather,downward_timing,conditional_rps,0.16901016249255527,
np025,720,43,weather,event,multiclass_brier,0.6234004994191804,
np025,720,43,weather,downward_timing,conditional_rps,0.17129528350012824,
np025,720,41,joint,event,multiclass_brier,0.6214292345521085,
np025,720,41,joint,downward_timing,conditional_rps,0.17175753278171996,
np025,720,42,joint,event,multiclass_brier,0.6214182709325019,
np025,720,42,joint,downward_timing,conditional_rps,0.16861260615662116,
np025,720,43,joint,event,multiclass_brier,0.6223466183807539,
np025,720,43,joint,downward_timing,conditional_rps,0.17085056192011422,
np025,720,41,weather_added_to_power,event,multiclass_brier,,9.633915704580916
np025,720,41,joint_added_to_power,event,multiclass_brier,,9.777294135486718
np025,720,41,power_added_to_weather,downward_timing,conditional_rps,,0.08667471828259173
np025,720,42,weather_added_to_power,event,multiclass_brier,,8.742127890483095
np025,720,42,joint_added_to_power,event,multiclass_brier,,9.008458016511788
np025,720,42,power_added_to_weather,downward_timing,conditional_rps,,-0.4866074198046059
np025,720,43,weather_added_to_power,event,multiclass_brier,,9.727681190154621
np025,720,43,joint_added_to_power,event,multiclass_brier,,9.88028980239848
np025,720,43,power_added_to_weather,downward_timing,conditional_rps,,1.2394862921311618
np028,15,41,power,event,multiclass_brier,0.6197388364027007,
np028,15,41,power,downward_timing,conditional_rps,0.15338181209190477,
np028,15,42,power,event,multiclass_brier,0.6206686819423427,
np028,15,42,power,downward_timing,conditional_rps,0.15312535425749466,
np028,15,43,power,event,multiclass_brier,0.6195426439418997,
np028,15,43,power,downward_timing,conditional_rps,0.15324853911993003,
np028,15,41,weather,event,multiclass_brier,0.6773085660285317,
np028,15,41,weather,downward_timing,conditional_rps,0.16936179617678349,
np028,15,42,weather,event,multiclass_brier,0.6722321780409698,
np028,15,42,weather,downward_timing,conditional_rps,0.1685540259153245,
np028,15,43,weather,event,multiclass_brier,0.6825262512159481,
np028,15,43,weather,downward_timing,conditional_rps,0.16790390796456248,
np028,15,41,joint,event,multiclass_brier,0.5836174340357096,
np028,15,41,joint,downward_timing,conditional_rps,0.15662699772849287,
np028,15,42,joint,event,multiclass_brier,0.5846181580163624,
np028,15,42,joint,downward_timing,conditional_rps,0.1553545942755691,
np028,15,43,joint,event,multiclass_brier,0.5849963116909571,
np028,15,43,joint,downward_timing,conditional_rps,0.15679863020266463,
np028,15,41,weather_added_to_power,event,multiclass_brier,,-9.289353231434859
np028,15,41,joint_added_to_power,event,multiclass_brier,,5.828487783121544
np028,15,41,power_added_to_weather,downward_timing,conditional_rps,,9.435412498931262
np028,15,42,weather_added_to_power,event,multiclass_brier,,-8.30773286921171
np028,15,42,joint_added_to_power,event,multiclass_brier,,5.808336230718537
np028,15,42,power_added_to_weather,downward_timing,conditional_rps,,9.153546807348679
np028,15,43,weather_added_to_power,event,multiclass_brier,,-10.166145605943948
np028,15,43,joint_added_to_power,event,multiclass_brier,,5.5761024021104095
np028,15,43,power_added_to_weather,downward_timing,conditional_rps,,8.728426289950075
np028,240,41,power,event,multiclass_brier,0.7006876569753193,
np028,240,41,power,downward_timing,conditional_rps,0.1669173642129452,
np028,240,42,power,event,multiclass_brier,0.7049225167286343,
np028,240,42,power,downward_timing,conditional_rps,0.1675072281000109,
np028,240,43,power,event,multiclass_brier,0.6986872848759398,
np028,240,43,power,downward_timing,conditional_rps,0.1680699734002606,
np028,240,41,weather,event,multiclass_brier,0.6705897641134416,
np028,240,41,weather,downward_timing,conditional_rps,0.16974728030623887,
np028,240,42,weather,event,multiclass_brier,0.6695755813005537,
np028,240,42,weather,downward_timing,conditional_rps,0.16864951203458475,
np028,240,43,weather,event,multiclass_brier,0.6748315236808611,
np028,240,43,weather,downward_timing,conditional_rps,0.16886946687740265,
np028,240,41,joint,event,multiclass_brier,0.6327752308755228,
np028,240,41,joint,downward_timing,conditional_rps,0.1700556060920941,
np028,240,42,joint,event,multiclass_brier,0.6290939318248668,
np028,240,42,joint,downward_timing,conditional_rps,0.16879977856588207,
np028,240,43,joint,event,multiclass_brier,0.6278502438742587,
np028,240,43,joint,downward_timing,conditional_rps,0.16863318082422854,
np028,240,41,weather_added_to_power,event,multiclass_brier,,4.295479242748791
np028,240,41,joint_added_to_power,event,multiclass_brier,,9.692253805776494
np028,240,41,power_added_to_weather,downward_timing,conditional_rps,,1.6671348655414397
np028,240,42,weather_added_to_power,event,multiclass_brier,,5.014300804592915
np028,240,42,joint_added_to_power,event,multiclass_brier,,10.757009898856483
np028,240,42,power_added_to_weather,downward_timing,conditional_rps,,0.677312327081984
np028,240,43,weather_added_to_power,event,multiclass_brier,,3.4143688759578015
