package,lead_minutes,arm,task,metric,absolute_score,relative_vs_frequency_pct,windows
np025,15,calendar,event,multiclass_brier,0.8420678980344465,-21.658302042088888,6996
np025,15,calendar,downward_timing,conditional_rps,0.17029106237310065,,2653
np025,15,wind_vector,event,multiclass_brier,0.6207477139001147,10.31707413870909,6996
np025,15,wind_vector,downward_timing,conditional_rps,0.17693849094166042,,2653
np025,15,thermodynamic,event,multiclass_brier,0.7728130813639734,-11.652667788565491,6996
np025,15,thermodynamic,downward_timing,conditional_rps,0.1852605684553946,,2653
np025,15,full_weather,event,multiclass_brier,0.6230270811592974,9.987761085533954,6996
np025,15,full_weather,downward_timing,conditional_rps,0.1697221968497505,,2653
np025,240,calendar,event,multiclass_brier,0.8381286390343246,-21.094260385348534,6996
np025,240,calendar,downward_timing,conditional_rps,0.17029106237310065,,2653
np025,240,wind_vector,event,multiclass_brier,0.6201478078133098,10.399983225400156,6996
np025,240,wind_vector,downward_timing,conditional_rps,0.1769384909416604,,2653
np025,240,thermodynamic,event,multiclass_brier,0.7569293522916356,-9.36244844863572,6996
np025,240,thermodynamic,downward_timing,conditional_rps,0.1852605684553946,,2653
np025,240,full_weather,event,multiclass_brier,0.6234192481864582,9.927319920590985,6996
np025,240,full_weather,downward_timing,conditional_rps,0.1697221968497505,,2653
np025,720,calendar,event,multiclass_brier,0.8408444640371807,-21.497349105887384,6996
np025,720,calendar,downward_timing,conditional_rps,0.17029106237310065,,2653
np025,720,wind_vector,event,multiclass_brier,0.620641899333814,10.320696944295907,6996
np025,720,wind_vector,downward_timing,conditional_rps,0.1769384909416604,,2653
np025,720,thermodynamic,event,multiclass_brier,0.7489551927760004,-8.219860406132396,6996
np025,720,thermodynamic,downward_timing,conditional_rps,0.1852605684553946,,2653
np025,720,full_weather,event,multiclass_brier,0.6224167858310834,10.064235715608392,6996
np025,720,full_weather,downward_timing,conditional_rps,0.1697221968497505,,2653
np028,15,calendar,event,multiclass_brier,0.80579171744318,-18.726465445655297,3772
np028,15,calendar,downward_timing,conditional_rps,0.16767617766477177,,1328
np028,15,wind_vector,event,multiclass_brier,0.6442688996009694,5.072529798522484,3772
np028,15,wind_vector,downward_timing,conditional_rps,0.16868925298149554,,1328
np028,15,thermodynamic,event,multiclass_brier,0.858634003693814,-26.512320942547664,3772
np028,15,thermodynamic,downward_timing,conditional_rps,0.17019994942804612,,1328
np028,15,full_weather,event,multiclass_brier,0.6773085660285317,0.20441967833555483,3772
np028,15,full_weather,downward_timing,conditional_rps,0.16936179617678346,,1328
np028,240,calendar,event,multiclass_brier,0.8112129079135773,-19.530294519664587,3772
np028,240,calendar,downward_timing,conditional_rps,0.16751046601185926,,1328
np028,240,wind_vector,event,multiclass_brier,0.6413782474552661,5.49443916762516,3772
np028,240,wind_vector,downward_timing,conditional_rps,0.16900323441956958,,1328
np028,240,thermodynamic,event,multiclass_brier,0.8628130533508126,-27.133453346653262,3772
np028,240,thermodynamic,downward_timing,conditional_rps,0.16953021550589237,,1328
np028,240,full_weather,event,multiclass_brier,0.6705897641134416,1.1901915953099051,3772
np028,240,full_weather,downward_timing,conditional_rps,0.16974728030623887,,1328
np028,720,calendar,event,multiclass_brier,0.8167482406256189,-20.370710330431567,3772
np028,720,calendar,downward_timing,conditional_rps,0.16736726982498465,,1328
np028,720,wind_vector,event,multiclass_brier,0.636307372454497,6.222301315067194,3772
np028,720,wind_vector,downward_timing,conditional_rps,0.16918603196580587,,1328
np028,720,thermodynamic,event,multiclass_brier,0.8662499080667075,-27.666166354751205,3772
np028,720,thermodynamic,downward_timing,conditional_rps,0.16989925116683674,,1328
np028,720,full_weather,event,multiclass_brier,0.6757793271365491,0.40500415190488825,3772
np028,720,full_weather,downward_timing,conditional_rps,0.16912963513898732,,1328
