package,lead_minutes,threshold,arm,task,absolute_score,relative_vs_frequency_pct,windows,positive_events
np025,15,0.15,power,state,0.5903747355724167,18.53390300797662,6996,3495
np025,15,0.15,power,downward_timing,0.14907767506479502,,6996,3495
np025,15,0.15,weather,state,0.653892756782021,9.769020358339091,6996,3495
np025,15,0.15,weather,downward_timing,0.16704068249308562,,6996,3495
np025,15,0.15,joint,state,0.5711114291845976,21.19205602845702,6996,3495
np025,15,0.15,joint,downward_timing,0.14607145413145947,,6996,3495
np025,15,0.2,power,state,0.575611854647216,16.83810648151162,6996,2653
np025,15,0.2,power,downward_timing,0.154843951975543,,6996,2653
np025,15,0.2,weather,state,0.6230270811592974,9.987761085533954,6996,2653
np025,15,0.2,weather,downward_timing,0.17093569327677635,,6996,2653
np025,15,0.2,joint,state,0.5615382004618155,18.871406736419715,6996,2653
np025,15,0.2,joint,downward_timing,0.1535572482658362,,6996,2653
np025,15,0.25,power,state,0.516645708577256,17.42521417331361,6996,2081
np025,15,0.25,power,downward_timing,0.15695854836742246,,6996,2081
np025,15,0.25,weather,state,0.5635798571603127,9.923792593956293,6996,2081
np025,15,0.25,weather,downward_timing,0.16766693330090668,,6996,2081
np025,15,0.25,joint,state,0.5035870247938208,19.51236596552547,6996,2081
np025,15,0.25,joint,downward_timing,0.15540523686836397,,6996,2081
np025,240,0.15,power,state,0.6641763937300623,8.34121833835269,6996,3495
np025,240,0.15,power,downward_timing,0.16564886998564018,,6996,3495
np025,240,0.15,weather,state,0.6529980475085111,9.883871171744243,6996,3495
np025,240,0.15,weather,downward_timing,0.16704068249308562,,6996,3495
np025,240,0.15,joint,state,0.6345879874057541,12.424527080725902,6996,3495
np025,240,0.15,joint,downward_timing,0.16637667874423404,,6996,3495
np025,240,0.2,power,state,0.6440337500421701,6.948901406810079,6996,2653
np025,240,0.2,power,downward_timing,0.16666954805004194,,6996,2653
np025,240,0.2,weather,state,0.6234192481864582,9.927319920590985,6996,2653
np025,240,0.2,weather,downward_timing,0.17093569327677635,,6996,2653
np025,240,0.2,joint,state,0.6101653943130622,11.842259414728296,6996,2653
np025,240,0.2,joint,downward_timing,0.1825561327727493,,6996,2653
np025,240,0.25,power,state,0.570237229262845,8.858999093351677,6996,2081
