package,lead_minutes,run_type,event_seed,timing_seed,seed_label,arm,task,n_trees,configured_max_depth,configured_min_leaf,measured_max_depth,measured_mean_depth,measured_min_depth,measured_total_leaves,measured_mean_leaves,measured_max_leaves,used_feature_count,occupied_train_leaves,training_rows
np025,15,primary,41,43,event41_timing43,power20,state,150,16,32,16,15.853333333333333,14,65526,436.84,450,20,65526,21049
np025,15,primary,41,43,event41_timing43,power20,downward_timing,100,16,16,16,15.94,14,32766,327.66,342,20,32766,7337
np025,15,primary,41,43,event41_timing43,weather_raw72,state,150,16,32,16,16.0,16,58353,389.02,429,72,58353,21049
np025,15,primary,41,43,event41_timing43,weather_raw72,downward_timing,100,16,16,16,15.99,15,32510,325.1,353,72,32510,7337
np025,15,primary,41,43,event41_timing43,joint_raw88,state,150,16,32,16,16.0,16,59410,396.06666666666666,431,88,59410,21049
np025,15,primary,41,43,event41_timing43,joint_raw88,downward_timing,100,16,16,16,16.0,16,33783,337.83,358,88,33783,7337
np025,15,primary,41,43,event41_timing43,weather_summary20,state,150,16,32,16,15.993333333333334,15,61642,410.94666666666666,455,20,61642,21049
np025,15,primary,41,43,event41_timing43,weather_summary20,downward_timing,100,16,16,16,16.0,16,31891,318.91,344,20,31891,7337
np025,15,primary,41,43,event41_timing43,weather_projection20,state,150,16,32,16,15.993333333333334,15,62942,419.61333333333334,454,20,62942,21049
np025,15,primary,41,43,event41_timing43,weather_projection20,downward_timing,100,16,16,16,15.97,15,32562,325.62,347,20,32562,7337
np025,15,primary,41,43,event41_timing43,noise20,state,150,16,32,16,15.913333333333334,14,69164,461.0933333333333,487,20,69164,21049
np025,15,primary,41,43,event41_timing43,noise20,downward_timing,100,16,16,16,15.96,15,31603,316.03,344,20,31603,7337
np025,15,primary,41,43,event41_timing43,power_weather_summary40,state,150,16,32,16,16.0,16,63159,421.06,442,40,63159,21049
np025,15,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,100,16,16,16,16.0,16,33640,336.4,355,40,33640,7337
np025,15,primary,41,43,event41_timing43,power_weather_projection40,state,150,16,32,16,15.993333333333334,15,63425,422.8333333333333,444,40,63425,21049
np025,15,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,100,16,16,16,15.96,15,33684,336.84,352,40,33684,7337
np025,15,primary,41,43,event41_timing43,power_noise40,state,150,16,32,16,15.873333333333333,14,67709,451.3933333333333,470,40,67709,21049
np025,15,primary,41,43,event41_timing43,power_noise40,downward_timing,100,16,16,16,15.95,15,33651,336.51,355,40,33651,7337
np025,15,robust,42,44,event42_timing44,power20,state,150,16,32,16,15.906666666666666,15,65510,436.73333333333335,458,20,65510,21049
np025,15,robust,42,44,event42_timing44,power20,downward_timing,100,16,16,16,15.94,13,32972,329.72,342,20,32972,7337
np025,15,robust,42,44,event42_timing44,weather_raw72,state,150,16,32,16,16.0,16,58527,390.18,438,72,58527,21049
np025,15,robust,42,44,event42_timing44,weather_raw72,downward_timing,100,16,16,16,15.99,15,31713,317.13,352,72,31713,7337
np025,15,robust,42,44,event42_timing44,joint_raw88,state,150,16,32,16,16.0,16,59427,396.18,427,88,59427,21049
np025,15,robust,42,44,event42_timing44,joint_raw88,downward_timing,100,16,16,16,15.99,15,33765,337.65,356,88,33765,7337
np025,15,robust,42,44,event42_timing44,weather_summary20,state,150,16,32,16,15.986666666666666,15,61898,412.6533333333333,447,20,61898,21049
np025,15,robust,42,44,event42_timing44,weather_summary20,downward_timing,100,16,16,16,16.0,16,31864,318.64,342,20,31864,7337
np025,15,robust,42,44,event42_timing44,weather_projection20,state,150,16,32,16,15.993333333333334,15,62791,418.6066666666667,447,20,62791,21049
np025,15,robust,42,44,event42_timing44,weather_projection20,downward_timing,100,16,16,16,15.95,14,32708,327.08,349,20,32708,7337
np025,15,robust,42,44,event42_timing44,noise20,state,150,16,32,16,15.98,15,69390,462.6,494,20,69390,21049
np025,15,robust,42,44,event42_timing44,noise20,downward_timing,100,16,16,16,16.0,16,31351,313.51,343,20,31351,7337
np025,15,robust,42,44,event42_timing44,power_weather_summary40,state,150,16,32,16,15.993333333333334,15,63153,421.02,441,40,63153,21049
np025,15,robust,42,44,event42_timing44,power_weather_summary40,downward_timing,100,16,16,16,15.96,15,33709,337.09,353,40,33709,7337
np025,15,robust,42,44,event42_timing44,power_weather_projection40,state,150,16,32,16,15.973333333333333,14,63181,421.20666666666665,445,40,63181,21049
np025,15,robust,42,44,event42_timing44,power_weather_projection40,downward_timing,100,16,16,16,15.94,14,33883,338.83,355,40,33883,7337
np025,15,robust,42,44,event42_timing44,power_noise40,state,150,16,32,16,15.86,14,67582,450.5466666666667,466,40,67582,21049
np025,15,robust,42,44,event42_timing44,power_noise40,downward_timing,100,16,16,16,15.97,15,33761,337.61,354,40,33761,7337
np025,15,robust,43,45,event43_timing45,power20,state,150,16,32,16,15.906666666666666,15,65686,437.9066666666667,455,20,65686,21049
np025,15,robust,43,45,event43_timing45,power20,downward_timing,100,16,16,16,15.95,15,32919,329.19,341,20,32919,7337
np025,15,robust,43,45,event43_timing45,weather_raw72,state,150,16,32,16,16.0,16,58476,389.84,437,72,58476,21049
np025,15,robust,43,45,event43_timing45,weather_raw72,downward_timing,100,16,16,16,16.0,16,32213,322.13,351,72,32213,7337
np025,15,robust,43,45,event43_timing45,joint_raw88,state,150,16,32,16,16.0,16,59478,396.52,425,88,59478,21049
np025,15,robust,43,45,event43_timing45,joint_raw88,downward_timing,100,16,16,16,15.99,15,33645,336.45,357,88,33645,7337
np025,15,robust,43,45,event43_timing45,weather_summary20,state,150,16,32,16,15.993333333333334,15,61858,412.38666666666666,446,20,61858,21049
np025,15,robust,43,45,event43_timing45,weather_summary20,downward_timing,100,16,16,16,16.0,16,32015,320.15,343,20,32015,7337
np025,15,robust,43,45,event43_timing45,weather_projection20,state,150,16,32,16,15.986666666666666,15,62550,417.0,460,20,62550,21049
np025,15,robust,43,45,event43_timing45,weather_projection20,downward_timing,100,16,16,16,15.93,14,32655,326.55,346,20,32655,7337
np025,15,robust,43,45,event43_timing45,noise20,state,150,16,32,16,15.946666666666667,15,69275,461.8333333333333,484,20,69275,21049
np025,15,robust,43,45,event43_timing45,noise20,downward_timing,100,16,16,16,15.97,14,31635,316.35,340,20,31635,7337
np025,15,robust,43,45,event43_timing45,power_weather_summary40,state,150,16,32,16,15.98,15,63197,421.31333333333333,446,40,63197,21049
np025,15,robust,43,45,event43_timing45,power_weather_summary40,downward_timing,100,16,16,16,15.97,14,33616,336.16,356,40,33616,7337
np025,15,robust,43,45,event43_timing45,power_weather_projection40,state,150,16,32,16,15.98,15,63299,421.99333333333334,447,40,63299,21049
np025,15,robust,43,45,event43_timing45,power_weather_projection40,downward_timing,100,16,16,16,15.95,15,33813,338.13,355,40,33813,7337
np025,15,robust,43,45,event43_timing45,power_noise40,state,150,16,32,16,15.84,14,67776,451.84,472,40,67776,21049
np025,15,robust,43,45,event43_timing45,power_noise40,downward_timing,100,16,16,16,15.97,15,33775,337.75,350,40,33775,7337
np025,60,primary,41,43,event41_timing43,power20,state,150,16,32,16,15.813333333333333,15,66139,440.9266666666667,457,20,66139,21046
np025,60,primary,41,43,event41_timing43,power20,downward_timing,100,16,16,16,15.99,15,32457,324.57,340,20,32457,7337
np025,60,primary,41,43,event41_timing43,weather_raw72,state,150,16,32,16,16.0,16,58366,389.1066666666667,429,72,58366,21046
np025,60,primary,41,43,event41_timing43,weather_raw72,downward_timing,100,16,16,16,15.99,15,32510,325.1,353,72,32510,7337
np025,60,primary,41,43,event41_timing43,joint_raw88,state,150,16,32,16,16.0,16,59449,396.32666666666665,422,88,59449,21046
np025,60,primary,41,43,event41_timing43,joint_raw88,downward_timing,100,16,16,16,16.0,16,33362,333.62,355,88,33362,7337
np025,60,primary,41,43,event41_timing43,weather_summary20,state,150,16,32,16,16.0,16,61506,410.04,446,20,61506,21046
np025,60,primary,41,43,event41_timing43,weather_summary20,downward_timing,100,16,16,16,16.0,16,31891,318.91,344,20,31891,7337
np025,60,primary,41,43,event41_timing43,weather_projection20,state,150,16,32,16,15.993333333333334,15,62922,419.48,454,20,62922,21046
np025,60,primary,41,43,event41_timing43,weather_projection20,downward_timing,100,16,16,16,15.96,15,32598,325.98,347,20,32598,7337
np025,60,primary,41,43,event41_timing43,noise20,state,150,16,32,16,15.906666666666666,14,69219,461.46,487,20,69219,21046
np025,60,primary,41,43,event41_timing43,noise20,downward_timing,100,16,16,16,15.96,15,31603,316.03,344,20,31603,7337
np025,60,primary,41,43,event41_timing43,power_weather_summary40,state,150,16,32,16,15.986666666666666,15,63926,426.17333333333335,447,40,63926,21046
np025,60,primary,41,43,event41_timing43,power_weather_summary40,downward_timing,100,16,16,16,16.0,16,33052,330.52,351,40,33052,7337
np025,60,primary,41,43,event41_timing43,power_weather_projection40,state,150,16,32,16,15.993333333333334,15,63970,426.46666666666664,450,40,63970,21046
np025,60,primary,41,43,event41_timing43,power_weather_projection40,downward_timing,100,16,16,16,15.98,15,33451,334.51,354,40,33451,7337
np025,60,primary,41,43,event41_timing43,power_noise40,state,150,16,32,16,15.786666666666667,14,68284,455.2266666666667,471,40,68284,21046
np025,60,primary,41,43,event41_timing43,power_noise40,downward_timing,100,16,16,16,15.99,15,33342,333.42,348,40,33342,7337
np025,120,primary,41,43,event41_timing43,power20,state,150,16,32,16,15.813333333333333,14,66779,445.1933333333333,463,20,66779,21042
np025,120,primary,41,43,event41_timing43,power20,downward_timing,100,16,16,16,16.0,16,31661,316.61,340,20,31661,7337
np025,120,primary,41,43,event41_timing43,weather_raw72,state,150,16,32,16,16.0,16,58356,389.04,429,72,58356,21042
np025,120,primary,41,43,event41_timing43,weather_raw72,downward_timing,100,16,16,16,15.99,15,32510,325.1,353,72,32510,7337
np025,120,primary,41,43,event41_timing43,joint_raw88,state,150,16,32,16,16.0,16,59401,396.00666666666666,427,88,59401,21042
np025,120,primary,41,43,event41_timing43,joint_raw88,downward_timing,100,16,16,16,16.0,16,32729,327.29,352,88,32729,7337
np025,120,primary,41,43,event41_timing43,weather_summary20,state,150,16,32,16,16.0,16,61476,409.84,446,20,61476,21042
