lead_minutes,cost_ratio,method,metric,value,low,high,forecast_cost,baseline_method,baseline_cost,no_alert_cost,cost_reduction_vs_no_alert_pct,threshold,validation_cost,alert_rate,windows,bootstrap_draws,bootstrap_seed
15,2.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,2.842003853564534,0.6596233581721744,5.299758394021895,0.3104987684729064,validation_constant,0.3195812807881773,0.3195812807881773,2.842003853564534,0.53,0.2921974522292994,0.010314039408866995,6496,2000,41
15,5.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,41.406551059730255,27.51555239356271,52.2864822154398,0.46813423645320196,validation_constant,0.7989532019704434,0.7989532019704434,41.406551059730255,0.105,0.47770700636942676,0.5290948275862069,6496,2000,41
15,10.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,34.481495053133024,20.89609788322666,48.38614552670945,0.5504926108374384,validation_constant,0.8402093596059114,1.5979064039408868,65.54913294797689,0.105,0.5115445859872612,0.5290948275862069,6496,2000,41
60,2.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,0.674373795761074,-0.4571970120444607,2.017035568936562,0.31742610837438423,validation_constant,0.3195812807881773,0.3195812807881773,0.674373795761074,0.56,0.2921974522292994,0.004310344827586207,6496,2000,41
60,5.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,37.36030828516378,25.949931012523876,46.54713882347735,0.5004618226600985,validation_constant,0.7989532019704434,0.7989532019704434,37.36030828516378,0.185,0.5027866242038217,0.3462130541871921,6496,2000,41
60,10.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,32.79589593257604,22.32809415952111,43.35978055090525,0.5646551724137931,validation_constant,0.8402093596059114,1.5979064039408868,64.66281310211946,0.08,0.5879777070063694,0.6313115763546798,6496,2000,41
120,2.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,0.3371868978805259,-0.26424470895754004,1.2931344430852696,0.3185036945812808,validation_constant,0.3195812807881773,0.3195812807881773,0.3371868978805259,0.6,0.2921974522292994,0.0021551724137931034,6496,2000,41
120,5.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,39.42196531791908,25.268261189702944,48.97175357295355,0.4839901477832512,validation_constant,0.7989532019704434,0.7989532019704434,39.42196531791908,0.13,0.5207006369426752,0.48214285714285715,6496,2000,41
120,10.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,33.51044338585562,21.998823552673205,44.81127582106672,0.5586514778325123,validation_constant,0.8402093596059114,1.5979064039408868,65.03853564547207,0.09,0.6062898089171974,0.6083743842364532,6496,2000,41
240,2.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,0.0,0.0,0.0,0.3195812807881773,validation_constant,0.3195812807881773,0.3195812807881773,0.0,0.6900000000000001,0.2921974522292994,0.0,6496,2000,41
240,5.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,36.70520231213873,23.838551686881363,44.81847934906676,0.5056958128078818,validation_constant,0.7989532019704434,0.7989532019704434,36.70520231213873,0.16,0.5636942675159236,0.3939347290640394,6496,2000,41
240,10.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,32.649322096005875,23.423466289360157,42.94280836206637,0.5658866995073891,validation_constant,0.8402093596059114,1.5979064039408868,64.58574181117534,0.075,0.6381369426751592,0.6681034482758621,6496,2000,41
480,2.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,2.1194605009633882,-0.9458337423513563,5.5083980573850235,0.312807881773399,validation_constant,0.3195812807881773,0.3195812807881773,2.1194605009633882,0.47000000000000003,0.2898089171974522,0.009390394088669951,6496,2000,41
480,5.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,42.466281310211954,32.0445997458704,50.02561301882624,0.45966748768472904,validation_constant,0.7989532019704434,0.7989532019704434,42.466281310211954,0.15,0.5935509554140127,0.41717980295566504,6496,2000,41
480,10.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,29.626236716746067,19.802815506062437,40.02875781267893,0.5912869458128078,validation_constant,0.8402093596059114,1.5979064039408868,62.99614643545279,0.075,0.7193471337579618,0.6714901477832512,6496,2000,41
720,2.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,1.156069364161838,-0.9405829270387539,4.823980911895853,0.3158866995073892,validation_constant,0.3195812807881773,0.3195812807881773,1.156069364161838,0.495,0.2898089171974522,0.005541871921182266,6496,2000,41
720,5.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,41.98458574181117,32.62157403882756,48.649607476635516,0.46351600985221675,validation_constant,0.7989532019704434,0.7989532019704434,41.98458574181117,0.14,0.6313694267515924,0.43673029556650245,6496,2000,41
720,10.0,np008_full_rolling,cost_reduction_vs_validation_constant_pct,30.54232319530964,21.11317278766783,40.673793263578425,0.5835899014778325,validation_constant,0.8402093596059114,1.5979064039408868,63.47784200385357,0.08,0.7257165605095541,0.6722598522167488,6496,2000,41
