lead_minutes,cost_ratio,method,threshold,threshold_source,validation_cost,validation_alert_rate,constant_action,train_frequency,validation_frequency,test_not_used_for_selection
15,2.0,np008_full_rolling,0.53,validation_only,0.2921974522292994,0.0,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
15,2.0,train_frequency,0.215,validation_only,0.2921974522292994,0.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
15,2.0,validation_frequency,0.15,validation_only,0.2921974522292994,0.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
15,2.0,no_alert,-1.0,deterministic_policy,0.2921974522292994,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
15,2.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
15,2.0,validation_constant,-1.0,validation_constant_selection,0.2921974522292994,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
15,5.0,np008_full_rolling,0.105,validation_only,0.47770700636942676,0.5832006369426752,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
15,5.0,train_frequency,0.215,validation_only,0.7304936305732485,0.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
15,5.0,validation_frequency,0.15,validation_only,0.7304936305732485,0.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
15,5.0,no_alert,-1.0,deterministic_policy,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
15,5.0,always_alert,-1.0,deterministic_policy,0.8539012738853503,1.0,always_alert,0.2114078768673608,0.1460987261146497,True
15,5.0,validation_constant,-1.0,validation_constant_selection,0.7304936305732485,0.0,no_alert,0.2114078768673608,0.1460987261146497,True
15,10.0,np008_full_rolling,0.105,validation_only,0.5115445859872612,0.5832006369426752,thresholded_forecast,0.2114078768673608,0.1460987261146497,True
15,10.0,train_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_train_frequency,0.2114078768673608,0.1460987261146497,True
15,10.0,validation_frequency,0.0,validation_only,0.8539012738853503,1.0,thresholded_validation_frequency,0.2114078768673608,0.1460987261146497,True
